tenant_id,property_id,first_name,last_name,email,phone,date_of_birth,lease_start_date,lease_end_date,lease_term_months,monthly_rent,security_deposit,annual_income,credit_score,num_occupants,pet_owner,employment_status,tenant_status
TEN0038,PROP0032,Monique,Aguilar,gina30@example.com,246-922-0802x644,1967-03-26,2024-11-15,2025-11-10,12,2145,2008,136568,669,5,Yes,Employed,Evicted
TEN0039,PROP0020,Terry,Armstrong,jacquelinecontreras@example.org,+1-856-201-8035x11172,1962-06-15,2023-01-04,2024-06-27,18,1250,1011,134662,639,2,Yes,Employed,Active
TEN0040,PROP0088,Daniel,Lopez,franciskendra@example.org,(367)605-2833x63979,1955-12-16,2022-12-11,2024-06-03,18,1886,1229,32068,639,2,No,Employed,Active
TEN0041,PROP0073,Sharon,Carey,lrios@example.net,001-634-563-3666x6565,1981-05-14,2024-05-08,2026-04-28,24,2902,1693,131976,735,4,Yes,Retired,Active
TEN0042,PROP0098,Brian,Mcdaniel,ndavis@example.org,001-639-957-4951x4796,1963-03-13,2022-05-01,2023-10-23,18,1049,4723,90036,565,4,No,Employed,Active
TEN0043,PROP0068,John,Powell,melissadavis@example.org,880.926.9286x68165,1978-10-04,2024-03-25,2024-09-21,6,2119,2015,147868,591,1,Yes,Employed,Active
TEN0044,PROP0083,Daniel,Sloan,moniquejones@example.net,(973)904-0918,1955-04-16,2025-02-23,2026-08-17,18,2658,4941,79925,700,5,No,Employed,Active
TEN0045,PROP0097,Joshua,Stewart,brownmary@example.com,309.203.8036,1994-06-15,2023-11-26,2024-11-20,12,1735,4189,86370,781,3,No,Employed,Active
TEN0046,PROP0050,Carlos,Nelson,mooreerin@example.com,479-561-4254x412,1994-04-27,2024-02-06,2026-01-26,24,2333,2050,70963,680,4,Yes,Employed,Active
TEN0047,PROP0067,Kathleen,Hammond,katie91@example.org,241.727.2927x082,1967-02-03,2026-03-14,2026-09-10,6,1332,1291,127594,740,5,No,Employed,Active
TEN0048,PROP0099,Jennifer,Jackson,frederickjill@example.com,+1-216-569-9356x107,1962-05-25,2022-07-21,2024-07-10,24,1978,3359,143782,576,3,Yes,Employed,Active
TEN0049,PROP0098,Eric,Martinez,hansonemily@example.com,+1-374-278-8465x448,1975-07-07,2025-04-08,2027-03-29,24,2234,3811,59392,605,1,No,Employed,Inactive
TEN0050,PROP0084,Matthew,White,potterdaniel@example.com,478-777-9306x685,1983-08-30,2022-05-18,2022-11-14,6,918,2277,109822,686,3,No,Retired,Active
TEN0051,PROP0028,Thomas,Patel,robert63@example.org,394-214-3620x8146,1991-02-27,2024-10-28,2025-10-23,12,1085,1962,104228,755,1,Yes,Self-Employed,Active
TEN0052,PROP0065,Karen,Young,ulopez@example.com,9554409471,1964-06-05,2022-09-12,2024-09-01,24,2315,3352,74681,630,3,Yes,Retired,Active
TEN0053,PROP0092,Bruce,Wong,xvazquez@example.net,480.855.8471x61106,1983-01-12,2025-01-01,2025-06-30,6,1914,4429,118338,591,4,No,Employed,Active
TEN0054,PROP0033,Carlos,Lee,nelsonbrenda@example.com,001-741-467-9643x7213,1957-04-02,2023-04-26,2023-10-23,6,1254,3120,75242,770,5,No,Employed,Active
TEN0055,PROP0034,Stacey,Taylor,paynesuzanne@example.net,619-505-2450x208,1988-08-10,2023-07-31,2025-07-20,24,831,2474,108554,578,3,Yes,Self-Employed,Active
TEN0056,PROP0046,Sophia,Lee,kevin09@example.org,001-354-919-7232,1974-10-22,2025-09-17,2027-03-11,18,2837,4327,45726,553,2,Yes,Employed,Active
TEN0057,PROP0077,Cynthia,Davis,natalie36@example.net,386.531.5574,1965-08-26,2026-01-08,2027-07-02,18,973,4373,39447,753,1,No,Retired,Inactive
TEN0058,PROP0086,Holly,Carlson,deckerchristopher@example.com,907-230-3404x1655,1984-04-26,2024-06-11,2026-06-01,24,3422,4221,105156,757,3,Yes,Employed,Evicted
TEN0059,PROP0026,Donald,Perkins,tina70@example.net,486.579.5050,1980-03-16,2022-11-06,2024-10-26,24,1160,4377,139055,735,1,Yes,Employed,Active
TEN0060,PROP0013,Mario,Stewart,stevenclayton@example.net,(955)455-6808,1997-06-13,2024-05-22,2026-05-12,24,2190,2615,144101,708,3,Yes,Employed,Active
TEN0061,PROP0080,Elizabeth,Carter,william34@example.net,612.897.2630,1970-06-11,2022-08-07,2023-08-02,12,2238,2009,148741,728,2,Yes,Employed,Active
TEN0062,PROP0090,Kent,Cooper,scottangela@example.net,001-844-845-8474x35142,1985-12-06,2024-05-18,2025-05-13,12,1525,4847,129642,588,4,No,Employed,Inactive
TEN0063,PROP0096,Matthew,Howard,mark17@example.com,+1-537-977-7282x7635,1957-07-27,2025-08-26,2027-02-17,18,1418,4402,143278,711,1,No,Employed,Active
TEN0064,PROP0044,Emily,Contreras,kbrown@example.org,927-735-7901x312,1963-03-13,2025-01-09,2025-07-08,6,1103,3342,76129,809,4,No,Employed,Active
TEN0065,PROP0045,Timothy,Simmons,daniel40@example.com,(994)700-4784,1960-05-25,2025-12-01,2026-05-30,6,3319,4953,114497,596,4,No,Employed,Evicted
TEN0066,PROP0008,Nancy,Leonard,inovak@example.net,(906)616-9045,1976-03-23,2025-02-16,2027-02-06,24,2116,4696,149150,646,5,Yes,Student,Active
TEN0067,PROP0053,Austin,Giles,mark71@example.org,6465181986,1993-10-23,2026-03-11,2026-09-07,6,960,2829,96132,638,4,No,Employed,Active
TEN0068,PROP0056,Amber,Mcdowell,steven51@example.net,739-305-9235x61434,1999-07-15,2023-05-01,2024-10-22,18,2474,3571,67079,748,5,Yes,Self-Employed,Active
TEN0069,PROP0011,Judith,Taylor,kimberlymurray@example.org,640.996.3302x028,1965-04-10,2023-10-23,2025-04-15,18,1963,2864,42387,747,5,Yes,Employed,Active
TEN0070,PROP0023,Jared,Higgins,shannonfox@example.org,6042115331,1992-06-14,2023-04-12,2024-10-03,18,1328,1494,70662,750,3,No,Employed,Active
TEN0071,PROP0020,Caleb,Sosa,uholt@example.com,+1-726-216-1971x27908,1960-04-12,2023-09-26,2024-03-24,6,2882,3764,114675,766,1,No,Employed,Evicted
TEN0072,PROP0053,Adam,Christensen,hopkinsjoshua@example.net,001-783-514-2339,1991-02-15,2023-03-12,2025-03-01,24,1363,2069,55166,665,1,No,Self-Employed,Active
TEN0073,PROP0082,Calvin,Robinson,adudley@example.com,001-247-643-6903x575,2002-02-05,2023-10-09,2024-04-06,6,3331,1873,116760,722,5,No,Employed,Active
TEN0074,PROP0092,Anthony,Duncan,kimberlygraham@example.net,(677)279-7145,1982-02-01,2023-01-07,2024-01-02,12,978,4165,124526,774,3,Yes,Student,Active
TEN0075,PROP0069,Nicholas,Wood,nicholascook@example.com,249.545.1645x9810,1975-09-22,2022-03-30,2023-03-25,12,2067,4642,99993,672,2,No,Employed,Active
TEN0076,PROP0068,Shannon,May,lindsey34@example.net,001-239-435-9975x96674,1987-10-13,2023-10-22,2025-10-11,24,2364,4919,130851,694,5,No,Student,Inactive
TEN0077,PROP0090,Amy,Brown,ysandoval@example.net,535-569-9304x24921,1984-07-12,2022-07-17,2023-07-12,12,1013,4736,144426,678,3,Yes,Self-Employed,Active
TEN0078,PROP0018,Kim,Wright,idavis@example.com,261.895.4040x22307,1986-08-27,2022-05-27,2023-11-18,18,1917,4480,40993,632,5,Yes,Self-Employed,Active
TEN0079,PROP0034,Brandon,Allen,moralesjohn@example.org,7234255949,1958-06-04,2023-06-11,2025-05-31,24,909,4198,145950,728,1,No,Employed,Active
TEN0080,PROP0013,Traci,Dixon,barbara10@example.org,+1-738-385-8703x7550,1980-12-20,2023-06-22,2024-12-13,18,2105,1611,59430,564,3,Yes,Employed,Active
TEN0081,PROP0073,Victoria,Jefferson,gwendolynprice@example.com,296-878-1861x648,1982-10-20,2025-06-13,2026-06-08,12,2637,843,129462,790,1,Yes,Employed,Inactive
TEN0082,PROP0083,Katie,Romero,wpayne@example.net,6915627995,1996-07-14,2023-06-07,2025-05-27,24,1773,3267,44573,697,1,Yes,Employed,Active
TEN0083,PROP0092,Kaitlyn,Vaughn,cervantesdouglas@example.net,692.945.9831,1979-01-16,2026-02-12,2028-02-02,24,2847,934,38232,606,5,Yes,Self-Employed,Active
TEN0084,PROP0001,Rebecca,Clark,ybrown@example.org,631-726-6134x412,1966-07-31,2022-07-08,2023-12-30,18,1567,1501,61531,763,5,No,Employed,Active
TEN0085,PROP0077,Christopher,Rice,john16@example.org,+1-798-636-3568x809,1968-12-09,2023-08-31,2024-02-27,6,978,3969,81177,790,3,No,Self-Employed,Active
TEN0086,PROP0011,April,Richards,andrewscharles@example.org,(747)739-9910,1962-03-22,2022-06-24,2023-12-16,18,3183,3523,61604,603,2,Yes,Employed,Active
TEN0087,PROP0096,Nicholas,Coleman,michael66@example.net,+1-451-302-5480x727,1991-05-31,2026-01-12,2027-01-07,12,2760,2293,138840,787,2,Yes,Self-Employed,Inactive
TEN0088,PROP0005,Jenna,Benton,bfrederick@example.net,(219)743-7936,1969-05-24,2022-06-22,2023-12-14,18,1617,1143,56422,572,3,No,Employed,Evicted
TEN0089,PROP0082,Gregory,Perez,aswanson@example.net,498.428.3357x739,2003-08-02,2024-09-16,2026-09-06,24,3449,2365,63202,568,3,No,Retired,Active
TEN0090,PROP0097,Jennifer,Snyder,nsosa@example.net,(505)407-4759x6701,1964-11-19,2022-07-07,2023-12-29,18,2307,4379,65811,613,4,No,Retired,Active
TEN0091,PROP0028,Thomas,Ewing,kennethdaniels@example.org,(315)613-5073,1979-05-24,2023-02-03,2025-01-23,24,2304,2984,120710,804,1,No,Employed,Active
TEN0092,PROP0028,Samantha,Gates,stephen97@example.com,7618396988,2000-12-24,2025-11-19,2027-05-13,18,1127,3486,72101,602,3,No,Employed,Active
TEN0093,PROP0026,Leonard,Gutierrez,kingsamuel@example.net,+1-560-400-9383x80366,1997-02-01,2024-02-24,2026-02-13,24,973,3688,76077,778,5,No,Employed,Evicted
TEN0094,PROP0010,Lauren,Hernandez,nshelton@example.org,565-845-3094x9992,1977-10-23,2024-10-08,2025-04-06,6,2288,2110,117973,757,1,Yes,Self-Employed,Active
TEN0095,PROP0068,William,Torres,edwardwashington@example.net,+1-706-878-0996x163,1989-08-15,2022-10-05,2023-04-03,6,1766,3800,46545,584,3,No,Retired,Active
TEN0096,PROP0024,Michael,Smith,smithjennifer@example.org,+1-852-977-3086x5244,1973-02-28,2025-10-11,2027-10-01,24,2618,1429,78623,740,5,Yes,Employed,Active
TEN0097,PROP0097,Valerie,Barron,joel87@example.net,211-246-8741x32712,1962-03-21,2025-07-23,2027-01-14,18,906,2324,62717,608,4,No,Retired,Active
TEN0098,PROP0042,Brianna,Torres,justin58@example.org,(771)423-3727x9695,1955-10-16,2022-09-01,2024-08-21,24,2811,2439,58124,696,1,Yes,Retired,Active
TEN0099,PROP0068,Joshua,Glass,patricia71@example.net,+1-624-269-3850x0122,1993-08-11,2023-10-04,2024-04-01,6,2223,1331,136235,713,5,No,Retired,Inactive
TEN0100,PROP0095,Lauren,Ramirez,lalvarez@example.com,441.697.9083,1966-05-08,2026-02-21,2027-02-16,12,2883,2636,134031,735,1,Yes,Self-Employed,Active
TEN0101,PROP0076,Patrick,Bradley,david50@example.com,(876)819-6793x9625,1998-01-30,2024-04-14,2024-10-11,6,2714,1863,77303,738,5,Yes,Employed,Active
TEN0102,PROP0074,Andrew,Johnson,tjohnston@example.com,001-927-292-7141x1833,1970-06-17,2024-03-14,2026-03-04,24,3154,1404,130815,759,2,No,Employed,Active
TEN0103,PROP0079,George,Rivers,osbornecarol@example.net,503-451-8365,1962-12-23,2025-08-22,2027-02-13,18,1328,4344,46821,643,5,Yes,Self-Employed,Active
TEN0104,PROP0047,Arthur,Christensen,charles33@example.org,914-394-8494x146,1988-09-09,2025-03-16,2026-03-11,12,1723,3634,51229,715,5,No,Self-Employed,Active
TEN0105,PROP0095,Allen,Ingram,brandoncampbell@example.org,+1-850-934-3782x29932,1990-03-28,2025-04-05,2026-09-27,18,3316,1565,46406,705,5,Yes,Employed,Active
TEN0106,PROP0026,Alicia,Thomas,sherriwagner@example.net,001-465-747-7743x75746,1995-12-06,2024-03-20,2025-09-11,18,916,1465,140432,571,1,No,Employed,Active
TEN0107,PROP0065,Michael,Jordan,patricia12@example.com,571-259-1689x81735,1959-01-07,2024-10-14,2025-04-12,6,3429,3274,95278,698,4,Yes,Self-Employed,Active
TEN0108,PROP0047,Dawn,Cooper,vanessa75@example.net,230.962.7187,1972-03-23,2025-07-24,2027-07-14,24,1447,4401,39564,580,4,No,Employed,Active
TEN0109,PROP0023,Teresa,Green,bianca35@example.org,+1-497-277-6322x924,1995-03-30,2022-08-22,2024-02-13,18,2214,4066,142916,713,2,No,Employed,Active
TEN0110,PROP0036,Kelly,Bennett,ejacobs@example.org,856-785-0109x7558,1956-04-22,2022-11-06,2024-10-26,24,2641,2830,46059,686,2,Yes,Employed,Inactive
TEN0111,PROP0091,Tamara,Saunders,vrogers@example.com,(277)463-9194x74002,1998-10-05,2024-05-01,2026-04-21,24,2141,3361,62541,631,2,Yes,Employed,Active
TEN0112,PROP0076,Jacob,Ramirez,carol62@example.org,001-438-516-0357x0398,1990-08-13,2023-01-16,2024-07-09,18,1168,4021,95191,561,5,No,Student,Active
TEN0113,PROP0055,Christina,Watkins,maryjohnson@example.com,(423)647-9534x67310,1997-06-30,2023-04-18,2023-10-15,6,2827,4655,36624,694,3,Yes,Self-Employed,Active
TEN0114,PROP0042,Joshua,Anderson,helenleonard@example.org,+1-432-392-4169x08453,1988-02-01,2022-11-15,2024-05-08,18,2298,1170,130120,756,4,Yes,Employed,Active
TEN0115,PROP0083,Mitchell,Martinez,jessicadouglas@example.net,001-964-695-0492x1869,1975-06-22,2023-02-13,2024-08-06,18,2865,4489,39637,747,5,No,Self-Employed,Active
TEN0116,PROP0091,Emily,Dixon,annajohnson@example.net,(820)710-9672x41364,1985-05-19,2025-10-21,2026-04-19,6,2413,3857,46864,599,3,No,Self-Employed,Active
TEN0117,PROP0078,Rachel,Adams,carpentertimothy@example.net,(500)500-8868x902,1998-07-07,2024-03-22,2026-03-12,24,985,1118,95546,570,2,No,Self-Employed,Active
TEN0118,PROP0024,Zachary,Howell,matthewmartinez@example.com,659.774.8512x6688,1972-11-19,2022-04-13,2023-04-08,12,1465,4019,72987,713,5,No,Employed,Active
TEN0119,PROP0078,Tammy,Davis,davidhunter@example.com,750-641-3541x11918,1969-08-14,2025-08-14,2027-08-04,24,2745,936,122895,703,3,No,Employed,Evicted
TEN0120,PROP0087,Jennifer,Mcknight,fprice@example.com,+1-799-365-6576x8607,1955-04-16,2024-09-01,2026-02-23,18,3244,4687,134432,563,3,Yes,Self-Employed,Active
TEN0121,PROP0026,Mike,Guerrero,wrightnicole@example.com,(909)414-0698x135,1985-09-11,2025-12-23,2027-12-13,24,929,1700,49369,674,2,Yes,Employed,Active
TEN0122,PROP0062,Riley,Young,dlawrence@example.org,001-885-664-7174x605,1994-04-13,2024-02-23,2025-02-17,12,3304,4663,83788,806,1,Yes,Employed,Active
TEN0123,PROP0098,Kaitlyn,Reed,nathan59@example.com,+1-680-917-2528x26050,1956-10-28,2023-08-15,2025-08-04,24,2085,2218,98875,742,4,No,Employed,Active
TEN0124,PROP0096,Tammy,Juarez,rojasjacob@example.net,720.819.7869x407,1974-12-02,2022-07-04,2023-12-26,18,1587,2819,109963,797,3,No,Employed,Evicted
TEN0125,PROP0047,Bobby,Edwards,brenda77@example.com,645-484-9769x416,1965-12-02,2022-10-15,2024-04-07,18,2802,3397,122392,656,4,No,Employed,Inactive
TEN0126,PROP0044,Antonio,White,wramsey@example.com,262-444-5257,2003-04-03,2022-11-30,2024-05-23,18,2416,3627,45974,744,2,No,Employed,Evicted
TEN0127,PROP0013,Kayla,Taylor,dtapia@example.net,(573)871-4906x584,1981-10-16,2022-08-30,2024-02-21,18,2762,2552,87983,681,2,No,Retired,Active
TEN0128,PROP0022,Ashley,Smith,martinezedward@example.com,(908)573-9338x750,1971-05-24,2025-01-17,2025-07-16,6,1793,1215,110698,672,5,Yes,Employed,Active
TEN0129,PROP0062,Andrew,Watkins,zhudson@example.net,(642)674-1681x26971,1967-02-16,2023-04-27,2024-10-18,18,1211,1926,124025,791,1,Yes,Employed,Inactive
TEN0130,PROP0073,Sarah,Johnson,toddalexander@example.org,(674)780-3865,1966-01-11,2025-07-21,2027-07-11,24,1976,3431,115267,652,3,Yes,Retired,Active
TEN0131,PROP0086,Chloe,Brown,jmorris@example.org,+1-908-243-4933x030,2002-05-30,2024-07-22,2025-07-17,12,1517,4223,100143,569,2,Yes,Student,Active
TEN0132,PROP0076,Benjamin,Burke,ronaldmorris@example.org,849-683-7655x07605,2004-11-02,2024-05-01,2025-04-26,12,953,875,128173,698,3,Yes,Retired,Active
TEN0133,PROP0070,Megan,Anderson,ryanmichael@example.org,269-833-9359,1990-01-02,2024-05-07,2026-04-27,24,2865,4634,146557,618,3,Yes,Self-Employed,Active
TEN0134,PROP0070,Lisa,Good,kdrake@example.net,523-367-6991x83850,1972-09-07,2024-04-10,2025-10-02,18,857,3561,124188,645,3,Yes,Employed,Inactive
TEN0135,PROP0061,Michael,Benson,tina18@example.net,5729819330,2004-07-27,2023-08-31,2025-08-20,24,1155,4083,97538,717,1,Yes,Student,Active
TEN0136,PROP0039,Craig,Quinn,brittanymorrison@example.org,252.341.2155,1990-09-30,2022-10-17,2023-04-15,6,1764,4459,64181,746,3,No,Employed,Active
TEN0137,PROP0002,Justin,Newman,barrjennifer@example.org,(410)447-0318x85233,1969-12-03,2025-05-29,2026-11-20,18,1767,1308,115679,734,1,No,Employed,Active
TEN0138,PROP0077,Cheryl,Miller,costaomar@example.com,(671)793-1442x544,1980-11-18,2025-11-18,2027-05-12,18,3416,3216,120477,610,3,Yes,Employed,Active
TEN0139,PROP0024,Steven,Miller,adavis@example.org,766.604.8560,1976-05-06,2022-11-22,2024-11-11,24,2503,4657,128007,741,5,Yes,Self-Employed,Active
TEN0140,PROP0089,Jerry,Thompson,frederick63@example.net,599-766-8234x28680,1962-11-04,2023-02-25,2023-08-24,6,2963,3763,98879,778,1,Yes,Employed,Active
TEN0141,PROP0077,Laura,Thomas,brianbarnes@example.com,+1-251-429-7834x91987,2003-10-11,2023-12-03,2024-11-27,12,1473,3487,105065,626,5,No,Employed,Active
TEN0142,PROP0087,Katherine,Fletcher,sanchezjoshua@example.org,243.459.6041,2001-12-30,2023-03-27,2025-03-16,24,2624,1255,41919,811,4,Yes,Employed,Active
TEN0143,PROP0010,Timothy,Perez,bmartin@example.net,001-503-441-2288x712,1995-08-25,2023-02-20,2025-02-09,24,889,4043,118181,707,3,Yes,Self-Employed,Active
TEN0144,PROP0008,Adam,Kelley,michaelmorse@example.com,269-628-8010x850,1994-04-24,2023-11-11,2025-10-31,24,3016,1293,75158,582,1,No,Employed,Active
TEN0145,PROP0022,David,Lam,jason29@example.org,(989)485-0053,1962-12-18,2026-01-28,2028-01-18,24,2637,3892,79081,745,4,Yes,Employed,Active
TEN0146,PROP0082,Chelsea,Bean,noahrodriguez@example.com,001-836-556-3470x32004,1993-09-19,2025-03-02,2026-02-25,12,1285,2262,115660,728,5,No,Employed,Active
TEN0147,PROP0034,Brenda,Adkins,hhall@example.net,636.676.0647x9715,1963-09-10,2022-08-12,2023-02-08,6,2022,4592,129113,561,5,No,Employed,Inactive
TEN0148,PROP0039,Cody,Valdez,carterdavid@example.com,9605516659,1982-04-01,2025-09-19,2027-09-09,24,1929,2344,75371,629,1,Yes,Self-Employed,Active
TEN0149,PROP0003,Jimmy,Baker,hboyd@example.org,220-467-6178,1999-05-20,2024-11-03,2025-10-29,12,1213,1075,57011,584,4,Yes,Employed,Active
TEN0150,PROP0068,Jonathon,Clark,mrhodes@example.org,(543)913-4040x0647,1977-10-06,2025-04-26,2026-04-21,12,1031,1947,100747,661,5,No,Employed,Inactive
TEN0151,PROP0086,Luis,Gutierrez,zallen@example.com,001-498-669-7370x9353,1974-08-19,2025-10-30,2027-04-23,18,1770,3272,105690,714,2,Yes,Employed,Active
TEN0152,PROP0084,Ethan,Taylor,juankelly@example.com,001-430-985-5136,1983-04-04,2024-07-10,2025-07-05,12,3076,4860,112050,768,1,No,Retired,Active
TEN0153,PROP0080,Taylor,Sanchez,carolyn17@example.com,518-402-5044,2001-07-23,2022-04-12,2023-10-04,18,2472,2022,121266,763,3,No,Employed,Active
TEN0154,PROP0036,John,Johnson,kaylee43@example.net,(571)285-0226,1993-03-04,2024-04-15,2025-04-10,12,2696,1272,69418,623,5,No,Student,Active
TEN0155,PROP0022,Autumn,Murillo,ibutler@example.com,+1-480-574-1855x2543,1968-09-21,2024-08-13,2026-08-03,24,1632,3505,61831,680,1,No,Self-Employed,Active
TEN0156,PROP0030,Eric,Thompson,steven08@example.org,+1-831-772-5380x4524,1959-11-16,2023-11-09,2024-05-07,6,3277,1123,65187,743,1,Yes,Self-Employed,Active
TEN0157,PROP0099,Travis,Riley,tmack@example.net,913.542.0137,1970-12-08,2025-06-17,2026-06-12,12,2163,3283,92835,656,1,Yes,Retired,Evicted
